;�..Isolate;Collection.Year;Accession.number;Source;Continent;Country;Region;ptxA;ptxP;fim3;fim2;prn.allele;prn.expression;If.PRN.negative.state.event;Insertion.of.IS481.in.PRN;Western.Blot.prn.expression.NRC.Institut.Pasteur;Longitude;Latitude;Precision_loc;Dataset
2656;I979;2013;SRR3205795;Williams et. al. (2016);America;US;New York State;ptxA2;Others;fim3-1;fim2-1;;Unkown;;no;NA;-74,0060152;40,7127281;State;Williams-2016
2657;I981;2013;SRR9118464;NCBI - CDC;America;US;New York State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-74,0060152;40,7127281;State;NCBI_new
2658;I984;2013;SRR9118461;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2659;I985;2013;SRR9118462;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-122,3300624;47,6038321;State;NCBI_new
2660;I986;2013;SRR9118465;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2661;I987;2013;SRR9118466;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2662;I988;2013;SRR9118361;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2663;I989;2013;SRR9118360;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2664;I990;2013;SRR9118359;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2665;I991;2013;SRR9118358;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2666;I992;2013;SRR9118365;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-122,3300624;47,6038321;State;NCBI_new
2667;I993;2013;SRR9118364;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2668;I994;2013;SRR9118363;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2669;I995;2013;SRR9118362;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2670;I996;2013;SRR9118357;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2671;I998;2013;SRR5071048;Weigand et. al. (2017);America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;Weigand_2017
2672;I999;2013;SRR9118356;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2673;J001;2013;SRR9118400;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2674;J002;2013;SRR9118401;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2675;J003;2013;SRR9118402;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;-122,3300624;47,6038321;State;NCBI_new
2676;J004;2013;SRR9118403;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2677;J005;2013;SRR9118396;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-122,3300624;47,6038321;State;NCBI_new
2678;J006;2013;SRR9118397;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2679;J007;2013;SRR9118398;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2680;J008;2013;SRR9118399;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event10;no;NA;-122,3300624;47,6038321;State;NCBI_new
2681;J009;2013;SRR9118404;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;-122,3300624;47,6038321;State;NCBI_new
2682;J010;2013;SRR5070792;Weigand et. al. (2017);America;US;Connecticut;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-73,1867205;41,1847223;State;Weigand_2017
2683;J011;2013;SRR9118405;NCBI - CDC;America;US;Connecticut;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event12;no;NA;-73,1867205;41,1847223;State;NCBI_new
2684;J012;2013;SRR5070846;Weigand et. al. (2017);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-93,2654692;44,9772995;State;Weigand_2017
2685;J013;2013;SRR5070706;Weigand et. al. (2017);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2017
2686;J015;2013;SRR9118300;NCBI - CDC;America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-93,2654692;44,9772995;State;NCBI_new
2687;J016;2013;SRR5070915;Weigand et. al. (2017);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event10;no;NA;-93,2654692;44,9772995;State;Weigand_2017
2688;J017;2013;SRR9118299;NCBI - CDC;America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event10;no;NA;-93,2654692;44,9772995;State;NCBI_new
2689;J019;2013;SRR5070968;Weigand et. al. (2017);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2017
2690;J020;2013;SRR9118302;NCBI - CDC;America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-93,2654692;44,9772995;State;NCBI_new
2691;J021;2013;SRR5070892;Weigand et. al. (2017);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-122,6741949;45,5202471;State;Weigand_2017
2692;J022;2013;SRR5071061;Weigand et. al. (2017);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-122,6741949;45,5202471;State;Weigand_2017
2693;J023;2013;SRR5070692;Weigand et. al. (2017);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-122,6741949;45,5202471;State;Weigand_2017
2694;J024;2013;SRR5829795;Weigand et. al. (2019);America;US;New York State;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-74,0060152;40,7127281;State;Weigand_2019
2695;J025;2013;SRR9118301;NCBI - CDC;America;US;New York State;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;event22;no;NA;-74,0060152;40,7127281;State;NCBI_new
2696;J027;2013;SRR5071066;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;-104,9848623;39,7392364;State;Weigand_2017
2697;J028;2013;SRR9118296;NCBI - CDC;America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;-104,9848623;39,7392364;State;NCBI_new
2698;J029;2013;SRR5829737;Weigand et. al. (2018);America;US;Colorado;ptxA1;Others;fim3-2;fim2-1;;Unkown;;no;NA;-104,9848623;39,7392364;State;Weigand_2018
2699;J030;2013;SRR5070939;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-104,9848623;39,7392364;State;Weigand_2017
2700;J033;2013;SRR9118295;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2701;J034;2013;SRR9118297;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2702;J035;2013;SRR9118467;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;event24;no;NA;-122,3300624;47,6038321;State;NCBI_new
2703;J036;2013;SRR9118303;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-122,3300624;47,6038321;State;NCBI_new
2704;J037;2013;SRR9118337;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;-122,3300624;47,6038321;State;NCBI_new
2705;J038;2013;SRR5071008;Weigand et. al. (2017);America;US;Arizona;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;-112,0741417;33,4484367;State;Weigand_2017
2706;J039;2013;SRR5070745;Weigand et. al. (2017);America;US;Arizona;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-112,0741417;33,4484367;State;Weigand_2017
2707;J057;2013;SRR9118338;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-122,3300624;47,6038321;State;NCBI_new
2708;J059;2013;SRR9118336;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-122,3300624;47,6038321;State;NCBI_new
2709;J060;2013;SRR9118333;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2710;J061;2013;SRR9118334;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-122,3300624;47,6038321;State;NCBI_new
2711;J062;2013;SRR9118331;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event12;no;NA;-122,3300624;47,6038321;State;NCBI_new
2712;J063;2013;SRR9118332;NCBI - CDC;America;US;Washington State;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-122,3300624;47,6038321;State;NCBI_new
2713;J064;2013;SRR9118339;NCBI - CDC;America;US;Washington State;ptxA1;ptxP1;Others;fim2-1;Prn 1;prn+;;no;NA;-122,3300624;47,6038321;State;NCBI_new
2714;J066;2013;SRR5829840;Weigand et. al. (2019);America;US;Connecticut;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-73,1867205;41,1847223;State;Weigand_2019
2715;J067;2013;SRR9118340;NCBI - CDC;America;US;Connecticut;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event12;no;NA;-73,1867205;41,1847223;State;NCBI_new
2716;J068;2013;SRR5070666;Weigand et. al. (2017);America;US;Connecticut;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-73,1867205;41,1847223;State;Weigand_2017
2717;J070;2013;SRR9118431;NCBI - CDC;America;US;Connecticut;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event12;no;NA;-73,1867205;41,1847223;State;NCBI_new
2718;J071;2013;SRR9118430;NCBI - CDC;America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;-122,6741949;45,5202471;State;NCBI_new
2719;J072;2013;SRR5071035;Weigand et. al. (2017);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,6741949;45,5202471;State;Weigand_2017
2720;J073;2013;SRR5070990;Weigand et. al. (2017);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,6741949;45,5202471;State;Weigand_2017
2721;J074;2013;SRR5829810;Weigand et. al. (2018);America;US;New Mexico;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-106,650985;35,0841034;State;Weigand_2018
2722;J075;2013;SRR9118433;NCBI - CDC;America;US;New Mexico;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-106,650985;35,0841034;State;NCBI_new
2723;J076;2013;SRR5070721;Weigand et. al. (2017);America;US;New Mexico;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;IS481 insertion;NA;-106,650985;35,0841034;State;Weigand_2017
2724;J077;2013;SRR5829796;Weigand et. al. (2019);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2019
2725;J078;2013;SRR5829847;Weigand et. al. (2018);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn-;event21;no;NA;-93,2654692;44,9772995;State;Weigand_2018
2726;J079;2013;SRR9118432;NCBI - CDC;America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-93,2654692;44,9772995;State;NCBI_new
2727;J080;2013;SRR9118427;NCBI - CDC;America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-93,2654692;44,9772995;State;NCBI_new
2728;J082;2013;SRR9118426;NCBI - CDC;America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;-104,9848623;39,7392364;State;NCBI_new
2729;J083;2013;SRR5829749;Weigand et. al. (2018);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2018
2730;J084;2013;SRR9118429;NCBI - CDC;America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-104,9848623;39,7392364;State;NCBI_new
2731;J085;2013;SRR5829769;Weigand et. al. (2019);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2019
2732;J086;2013;SRR9118428;NCBI - CDC;America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-104,9848623;39,7392364;State;NCBI_new
2733;J087;2013;SRR9118435;NCBI - CDC;America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-104,9848623;39,7392364;State;NCBI_new
2734;J090;2013;SRR5070707;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2017
2735;J101;2013;SRR9118434;NCBI - CDC;America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-93,2654692;44,9772995;State;NCBI_new
2736;J139;2013;SRR9006067;Weigand et. al. (2019);America;US;Texas;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-95,3676974;29,7589382;State;Weigand_2019
2737;J185;2013;SRR9006103;Weigand et. al. (2019);America;US;Indiana;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-86,1583502;39,7683331;State;Weigand_2019
2738;J234;2013;SRR9006101;Weigand et. al. (2019);America;US;Vermont;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event12;no;NA;-73,212906;44,4761601;State;Weigand_2019
2739;J014;2014;SRR5829823;Weigand et. al. (2018);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2018
2740;J091;2014;SRR5070971;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2017
2741;J092;2014;SRR9006105;NCBI - CDC;America;US;Delaware;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;-75,546589;39,7459468;State;NCBI_new
2742;J094;2014;SRR5829808;Weigand et. al. (2018);America;US;Georgia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-84,3902644;33,7489924;State;Weigand_2018
2743;J098;2014;SRR5070966;Weigand et. al. (2017);America;US;New Mexico;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-106,650985;35,0841034;State;Weigand_2017
2744;J100;2014;SRR5071071;Weigand et. al. (2017);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-122,6741949;45,5202471;State;Weigand_2017
2745;J106;2014;SRR5829838;Weigand et. al. (2018);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-93,2654692;44,9772995;State;Weigand_2018
2746;J107;2014;SRR5070895;Weigand et. al. (2017);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2017
2747;J110;2014;SRR5070759;Weigand et. al. (2017);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2017
2748;J111;2014;SRR5829877;Weigand et. al. (2018);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2018
2749;J113;2014;SRR5829859;Weigand et. al. (2018);America;US;New York State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-74,0060152;40,7127281;State;Weigand_2018
2750;J115;2014;SRR5070808;Weigand et. al. (2017);America;US;New York State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-74,0060152;40,7127281;State;Weigand_2017
2751;J117;2014;SRR9118392;NCBI - CDC;America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-118,242766;34,0536909;State;NCBI_new
2752;J118;2014;SRR9006065;NCBI - CDC;America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-118,242766;34,0536909;State;NCBI_new
2753;J119;2014;SRR9118393;NCBI - CDC;America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-118,242766;34,0536909;State;NCBI_new
2754;J120;2014;SRR5071036;Weigand et. al. (2017);America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-118,242766;34,0536909;State;Weigand_2017
2755;J121;2014;SRR5071080;Weigand et. al. (2017);America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-118,242766;34,0536909;State;Weigand_2017
2756;J122;2014;SRR5070791;Weigand et. al. (2017);America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-118,242766;34,0536909;State;Weigand_2017
2757;J123;2014;SRR9118390;NCBI - CDC;America;US;California;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;-118,242766;34,0536909;State;NCBI_new
2758;J126;2014;SRR9118388;NCBI - CDC;America;US;California;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;-118,242766;34,0536909;State;NCBI_new
2759;J127;2014;SRR9118389;NCBI - CDC;America;US;California;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;-118,242766;34,0536909;State;NCBI_new
2760;J128;2014;SRR9118386;NCBI - CDC;America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-118,242766;34,0536909;State;NCBI_new
2761;J129;2014;SRR9006062;NCBI - CDC;America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-118,242766;34,0536909;State;NCBI_new
2762;J130;2014;SRR9006063;NCBI - CDC;America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-118,242766;34,0536909;State;NCBI_new
2763;J131;2014;SRR5829853;Weigand et. al. (2018);America;US;California;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-118,242766;34,0536909;State;Weigand_2018
2764;J148;2014;SRR5829833;Weigand et. al. (2018);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-122,6741949;45,5202471;State;Weigand_2018
2765;J149;2014;SRR5070859;Weigand et. al. (2017);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-122,6741949;45,5202471;State;Weigand_2017
2766;J150;2014;SRR5829813;Weigand et. al. (2018);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;-122,6741949;45,5202471;State;Weigand_2018
2767;J151;2014;SRR5829855;Weigand et. al. (2018);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-122,6741949;45,5202471;State;Weigand_2018
2768;J152;2014;SRR5071018;Weigand et. al. (2017);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-93,2654692;44,9772995;State;Weigand_2017
2769;J153;2014;SRR5829864;Weigand et. al. (2018);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2018
2770;J154;2014;SRR5829837;Weigand et. al. (2018);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2018
2771;J155;2014;SRR5070717;Weigand et. al. (2017);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2017
2772;J157;2014;SRR5829875;Weigand et. al. (2018);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2018
2773;J160;2014;SRR5829839;Weigand et. al. (2018);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;-93,2654692;44,9772995;State;Weigand_2018
2774;J161;2014;SRR5070822;Weigand et. al. (2017);America;US;Minnesota;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-93,2654692;44,9772995;State;Weigand_2017
2775;J162;2014;SRR5070956;Weigand et. al. (2017);America;US;Georgia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-84,3902644;33,7489924;State;Weigand_2017
2776;J163;2014;SRR5829758;Weigand et. al. (2018);America;US;Georgia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-84,3902644;33,7489924;State;Weigand_2018
2777;J164;2014;SRR5829797;Weigand et. al. (2018);America;US;Georgia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-84,3902644;33,7489924;State;Weigand_2018
2778;J165;2014;SRR5829782;Weigand et. al. (2018);America;US;New York State;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-74,0060152;40,7127281;State;Weigand_2018
2779;J170;2014;SRR5829854;Weigand et. al. (2018);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2018
2780;J171;2014;SRR5829832;Weigand et. al. (2018);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2018
2781;J172;2014;SRR5829851;Weigand et. al. (2018);America;US;Colorado;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2018
2782;J173;2014;SRR5829844;Weigand et. al. (2018);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2018
2783;J174;2014;SRR5071022;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2017
2784;J175;2014;SRR5070746;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2017
2785;J176;2014;SRR9118387;NCBI - CDC;America;US;Colorado;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;NCBI_new
2786;J177;2014;SRR5829761;Weigand et. al. (2018);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2018
2787;J178;2014;SRR5070801;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2017
2788;J190;2014;SRR9118394;NCBI - CDC;America;US;Indiana;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-86,1583502;39,7683331;State;NCBI_new
2789;J191;2014;SRR5071060;Weigand et. al. (2017);America;US;Indiana;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;-86,1583502;39,7683331;State;Weigand_2017
2790;J192;2014;SRR5070844;Weigand et. al. (2017);America;US;Oregon;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-122,6741949;45,5202471;State;Weigand_2017
2791;J193;2014;SRR5070906;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2017
2792;J194;2014;SRR5070913;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2017
2793;J195;2014;SRR5829861;Weigand et. al. (2018);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2018
2794;J196;2014;SRR9118395;NCBI - CDC;America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-104,9848623;39,7392364;State;NCBI_new
2795;J197;2014;SRR5070710;Weigand et. al. (2017);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2017
2796;J199;2014;SRR5829751;Weigand et. al. (2018);America;US;Colorado;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;-104,9848623;39,7392364;State;Weigand_2018
